pumpid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
A/01/09,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/01/11,21261,15789,24215,27053,14107,42146,44197,38871,34092,43686,40296,34455,NA,26653,37591,21290,22736,16533,13966,21053,12196,10347,14470,18514,15587,16549,15725,20371,14099,13478,23143,16369,20250,19120,18689,18416,18372,21041,19174,24224,15818,14646,15299,12287,23629,31508,24828,27040,34363,NA,NA,NA
A/01/12,422,266,3504,4472,1898,5261,6384,8312,5549,5810,7851,4273,NA,5699,1853,401,534,2551,3070,3837,3493,2288,2587,1507,1211,1289,986,591,2313,4265,3588,440,420,144,1259,901,1287,446,875,2885,3774,2908,4725,5085,2441,2252,491,415,746,20,NA,NA
A/01/14,15504,9837,18663,20794,9165,24490,22176,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,49,NA,NA,NA,NA,NA,253,NA,126,156,29,59,NA,31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/01/15,2245,1909,2365,2522,1438,3525,3473,4638,5287,5522,4278,3620,62,2568,3044,2334,2961,2709,1494,2594,2933,1820,171,1,NA,NA,2,1,74,361,707,206,469,52,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/02/09,10861,7373,13143,15471,5724,15233,16002,11662,15512,16005,16158,11654,566,10351,17816,11489,12233,10957,6657,7820,8333,6779,4377,7483,7941,8973,7284,8950,10283,11056,10711,12654,10207,11188,13065,16532,13912,16465,10791,7485,6525,11949,8996,9655,10673,10288,10729,12001,14340,5885,NA,NA
A/02/11,18541,16727,28724,26478,10206,28703,28745,34382,28221,23364,27014,19228,2759,7292,17784,10658,12661,11053,8464,13075,10305,4673,6236,7966,9219,9119,6721,10934,9304,8444,17423,12736,13301,11887,11339,12897,14630,14584,12710,15716,14920,12604,12903,10827,15121,21466,15534,14478,613,NA,NA,NA
A/02/12,26953,15958,24894,28956,16949,27673,36357,37397,26636,26789,24658,17372,4042,7494,22481,14225,14348,15774,10300,11337,13503,8962,9922,14032,18050,19573,12587,12049,15029,16616,18707,16438,19562,15011,16868,21850,25849,25440,22012,23731,23674,24954,26639,25392,22979,17668,19167,19743,19020,17882,NA,NA
A/02/13,9010,5384,7873,7888,3146,8220,6688,6940,7537,8818,7724,4907,190,3855,5724,2864,4844,4009,3068,3843,4126,2146,3158,3660,4933,4656,3276,4084,3896,4634,4060,4111,4852,4061,3748,4852,4380,4622,3702,3834,3009,3583,3369,3983,3142,3051,4084,3987,4009,1998,NA,NA
A/02/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
