pumpid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
A/03/16,16145.5,14067,14645,15684,15152.2,17867.5,18634,18767,20337.333333333332,21376,16343,13658,12898,15179.5,11565.4,13657,14827.75,12098.333333333334,9091.833333333334,10162,8738,11904.2,11082.4,11968,13244,2341,8936,9396,8890,9157,9583,9097.666666666666,8983.333333333334,12950,10136,7488.833333333333,8708,8791,7383.833333333333,8797,8077,8125,11520.6,9741,7117,8517,12391.166666666666,15768,11933.833333333334,11696,11774,17801
A/03/26,0,NA,0,11001.666666666666,11733,12537,18982,11484,10962,12785,10557,9419,7996,9595,7707,9562,11189.5,10112,7194,8315,8378,9137,8395,7966,9957.5,5365,10153,8599,8885,9375,9473,9330,11317,10406.666666666666,10795,9284,8952,9225,9644,11165,7839,8939,9127,9756,7518,9456,10373,11690,9260,10314,11217,11997
A/04/09,NA,NA,NA,NA,NA,32641,26003,23341,24125,23041,22737,23258,24048,24061,20587,20998,22132.25,18204,11944,16233,13821,18107,18025,18150,19576.2,12254,17876,18216,18472,19004,16799,17106,19234,17875.666666666668,19970,21304,21295,22137,20126,22827,17014,17160.5,21350,22133,15965,16982,21601,24148,18494,21359.333333333332,21615,25880.166666666668
A/04/10,0,0,0,NA,11298,8764,11221,10382.75,10717,NA,8194.666666666666,6888,10159.333333333334,8054.666666666667,6251,9909.666666666666,10993.5,6874,NA,NA,5432,8270.5,NA,5131,NA,6797,NA,10567.666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/04/11,77,614,742,777,NA,1376.6666666666667,1251,1394,1482,1519,934,1343,1107,1207,1034,467,232.75,151,641,957,869.1666666666666,951,672,900,1121.4,682,602,581,646,838,734,1082,133,136.5,193,1104,1692,2493,2673,2518,2058,2904,2765,2638,846,1231,325,354.6666666666667,355,329,318,273
A/04/12,10603.25,10923,12116,12021.333333333334,NA,17958.5,13248.666666666666,15370,17967,23029,10289,9990,11909,14163,12404,16372,18291,10062,221.66666666666666,0,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A/04/14,13588.75,9037,9409,11786,10809.166666666666,10026.333333333334,10339,12571,13779,9975,8849,10687,9110,10035.666666666666,6773,5790,4513.25,4096,3526,3228,2602,4743,7243,10871,13356,5342,9926,8653,8657,9442,6105,5304,4509,6377,10461,9184,10601,8061,10084,9483,7049,5392,5284,6017,5355,4728.5,6849,6156,7277,7884,5352,7368
A/04/15,10750.25,20346,24339,10901.333333333334,812,0,9049,19075,15610,9,13,17,5,471,4163,2984,3323.25,4385.5,5051.666666666667,8332,8782,2443,81,44,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/04/16,28551.25,29855,28307,30751,NA,28232.166666666668,26402,28422,27714,28291,26343,28003,26123,26696,22524,25104,28204.75,25263,13189,17436,16097,22733,21980,20052,21921.666666666668,14296,23701,23286,24116,27830,18813,21963,25409,22115.333333333332,24202,21163,22541,22180,22616,26226,17736,22206,27186,24559,20940,20228,30185,32132,26783,28365,29593,31320
A/04/26,NA,NA,NA,1318.3333333333333,10467,11818,3809,2990,2471,3043,9019,4484,6618,4397,3499,2743,3465,3566,1557,3576,3986,3028,3953,3320,4046,1306,3636.5,2887,3710,3855,2380,2488,7357,8570.333333333334,5098,3771,3605,1472,0,4,2481,822,1179,2061,471,1969,3540,4960,5557,4172,4133,3237
A/04/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/05/09,15990.333333333334,17883.25,NA,NA,NA,27477.8,16874.666666666668,19733,22759.333333333332,22475,22588,21165,20697,22756,19347,21727,25219.25,21056,12699,15106,14406,20347,21367,13688,16360.4,10325,15364,15504,15621,14882,12304,15324,18992,14681.333333333334,20413,12353,16148,19554,18710,19657,16344,16348,21636,20446,14299,16709,22303,26706,16386,21953.75,NA,NA
A/05/10,10598,9430.75,12510.4,NA,NA,15591.333333333334,15473,15838.666666666666,18603.666666666668,18401.6,17764.25,16056.25,17973.2,17515.166666666668,15949.5,15359.75,14850.5,13541,8174.6,9482.666666666666,7942.666666666667,10522.166666666666,10096,7925.75,12376,6889,9470,10146.5,9259,10129,8937.6,10323.833333333334,11324.6,9774.333333333334,11011,12860.75,12418,14820.75,16594.666666666668,16829.4,12931.333333333334,13191,15053.5,15204,10116,NA,14774.2,17474.8,11092.666666666666,16228,17152,20740
A/05/11,10936.333333333334,8400,9409.75,10462.666666666666,NA,60.2,85,5421,6648,2860,7605,9591,12196.333333333334,12497.333333333334,9548,11723,12267.5,9759.4,2290.1666666666665,2249.3333333333335,2872,3988.8333333333335,6013,4896,6461,3964,7005,5888.166666666667,8562,7932.166666666667,6149.5,11564,9100,11095,6014.4,6016.5,8937.6,9822.4,9149,10596.25,5783.75,7093.8,12073.833333333334,10382,7273,NA,12330.5,12264,10684,11467,13277,12841
A/05/12,1016.75,1089,1191,NA,NA,1641.5,1180,1008,856,1291,783,867,781,1218,996,824,729.75,510,299,429,859,597,387,487,721,252,246,275,209,375.6666666666667,88,543,705,672,831,752,723.8,630,692,680,440,600,832,1024,445.2,593,743.75,546,567,833,594,504
A/05/13,19.25,14,6,15,6,1121.1666666666667,2325,1751,2459,1402,949,800,292,237,239,127,630,1042,213.5,271,188,291,225,141,229.6,332,350,194,243,419,367,580,624,1766.3333333333333,4741,3582,5415.2,1197,720,3736,2753,3364,4135,4524,3264,2642.5,4297,6033,7138.833333333333,6714,8356,7916
A/05/14,4117.75,7408,8720,11511,11158,11837,11404,13768,13529,9910,6445,7527,7530,8884,6026,3124,4082.75,4591,4449,6180,5211,8375.5,10148,6698,8981,4407,8240,7852,7958,8306,6621,8564,6377,4848.666666666667,10803,13382,11021,12882,16047,16443,11821,15691,11831,12596.5,4548,10516,5828.666666666667,6033,5334,8720,6268,7716
A/05/26,0,NA,0,126,41,14,17,28,29,13,36,14,1,14,4,21,17.5,16,4,30,10,12,26.6,14,0,0,5,15.166666666666666,8,23,20,45,57.166666666666664,35,5,23,18,0,102,11,3,7,6,0,9,0,1,5,6,3,15,1
A/06/09,17692.5,18615.8,NA,NA,NA,35392,19436,16878,18156,18626,18998,18485,18315,19967,15589,17163,19161.333333333332,13703,7063,11797,9495,15510,17763,14958,18253.2,12674,17075,16437,16447,17669,13825,18314.8,21144,18207,22370.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18288.2,22658,24441,19608,23116,21994,25445
A/06/10,36500.333333333336,34622,NA,NA,NA,29793.166666666668,12239,26171,27610,27551,28856,23338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,22344,25916,26545,29865,25125.333333333332,23793,28780.5,26800,20164,25552,28187,30197,27837.833333333332,27827,28405,29862
A/06/12,NA,NA,NA,NA,NA,NA,22437.8,21384,23369,21965,20075,19802,14805,15102,12114,12325,17025.75,15314,7757,8847,7333,11521,12102,14020,15531.833333333334,7313,12910,11880,13147,15056,10917,11657,11031,11181.333333333334,13445,13017,14009,13761,13277,14281,9684,11397,13973,14124,10470,12835,12190,16064,13175,15026,15870,16291
A/06/13,12577.25,10373,9322,7976,9692,8296,8686,9184,10078,10746,7567,9234,7817,7429,6449,7521,8489.25,7681,3409,4731,4128,8245,8047,7767,9469.6,4202,8750,7991,10100,12323,8513,10128,10056,9739.333333333334,9631,6473,8177.166666666667,5143,6482,9240,5094,6301,7067,7883,3333,2684,5723,6882,5559,7951,11331,9210
A/06/14,35005.25,32417,34879,18783,34470,41142,43371,43092,45424,39743,36364,41560,39357,39815,27369,31177,30612.75,26565,17347,20722,17898,28841,35192,42559,47166,23218,42446,38544,42331,44023,32797,33826,35815,30200.333333333332,45194,42708,47145,41635,44910,52465,43433,52573,51815,48723,29502,38518.666666666664,41991,46634,41271,52936,44107,53559
A/06/16,NA,NA,NA,NA,6846,13333,12856,13252,13424,14025,10786,9841,9532,10163,11039,11881,14336,11683,2437,2357,1935,2700,2529,3426,3999.8,2937,3309,3335.5,4544.4,5110,3431.4,2656.5,4432.166666666667,4473,8536.5,6667.5,7325.5,7051,8654.333333333334,10596,10628,11107,12007,12385,3383,6734,6415,8581,5788,6414,7506,8952
A/06/26,NA,NA,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A/07/09,NA,NA,NA,NA,NA,17087,17958,17641,18711,19030,18923,16743,20737,19467,16320,15533,16342.666666666666,11878,10882,9773,9299,13320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17521,18551,22329,22969,9373,NA,NA,NA,NA,NA,NA,NA
A/07/11,NA,NA,NA,NA,12685.166666666666,15919,14360,14311,14406,14177,12321,14691,11269,11219,9682,10544,11817.75,9283,6191.5,8368,7819,10947,10388,7780,9189.833333333334,5278,10004,9214,10563,11743,6818,8233,7308,8108.333333333333,12537,10487,10662.166666666666,11859,10468,9775.5,5702.666666666667,6563,9993,10408,8922.666666666666,10315.666666666666,8723,10313.8,8497,9392,9248,10523
A/07/12,13241.666666666666,11559,12230.166666666666,NA,NA,11608.333333333334,11476,12370,13190,12914,15938,13786,11822,17098,13082,12478,12384.75,13124,8453,9397,10579,12817,9648,17793,17479,6881,10299,7908,9654,11392,7671,10471,12125,11386.666666666666,14909,12770,12567.333333333334,12875,13419,17921,13284,14016,15707,16000,10459,10272.5,13950,13951,11680,17623,18734,15930
A/07/13,12863.666666666666,10675,11507,10993,11324,11277,11516,11674,10849,11063,13100,12605,9533,10540,8946,9812,8816.5,8201,5266,5771,5827,8111,7042,7361,8167.6,4740,8001,9352,10529,13586,9001,12438,10213,8390.666666666666,10938,9868,11548,10402,10992,12077,9062,9965,11960,11630,9164,9683.8,12209,14195,11009,12980,12549,13972
A/07/14,4341.75,5594,4110,4070,3398,5951,4031,4620,4624,5720,5499,6092,4410,4357,4770,3034,3836,2861,1503,1961,1839,2720,3024,2279.6666666666665,3445.1666666666665,1038,2167,2390,2019,3606,2778,2353,2540,1407,3282,2531,2330,2508,2627,2774,2450,3636,4901,5861,3989,4648,4319,6064,5073,6274,6040,5717
A/07/26,NA,NA,0,12.833333333333334,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,1,5,2,3160,3837,3614
A/08/09,16810.5,18825,27503,NA,NA,20111,18735,17757,20570,19462,18787,17165,19004,17316,16377,16202,21544.25,16483,9799,14352,13565,18352,22410.5,15788.5,20234.2,11926,18306,18369,18600,19835,14578,16954,20273,18986.333333333332,21228,20830,23056,24415,23200,22616,11607.166666666666,11468,15714,15905,12226,16955,18609.5,NA,NA,NA,NA,NA
A/08/12,3325,4478,6072,NA,NA,7172.666666666667,7098,6393,5324,3103,859,1033,2142,832,0,0,0,115,580,1253,1130,1204,804,1528,2375.8,1678,2469,1774,1232,2214,2915,3033,1554,182,251,3391,3669.4,4277,4111,3800,3968,3036,3851,4681,3587,1904,1867,2641,4292,5146,4750,4554
A/08/13,13596.333333333334,11021,11995,13643,14095,14943,13355,12964,14420,14008,10081,10574,9986,11226.833333333334,9495,9694,9341.5,9357,6339,7008,6997,8310,7227,7880,9016,5643,7005,6529,7124,8023,8444,9698,9970,10140.666666666666,12099,10044,11112,9852,9076,13724,10540,10674,10717,10247,10804,11650.8,14204,15252,13623,9630,13446,16057
A/08/14,NA,NA,NA,NA,NA,20573,21700,22101,22455,23568,17548,19798,19987,25439,17992,20367,22599.5,22290,13501,13980,12710,20891,24821,32578,36827,11984,22659,25030,26480,29114,23569,29361,29812,21203,29723,25160,27573,26445,27524,30567,21954,23850,28228,30805,20283,NA,NA,NA,NA,NA,NA,NA
A/08/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/08/26,NA,NA,NA,2639,7108,5008,478,3839,4540,4427,4390,2380,2200,2834,1510,1048,1436.75,1300,214,476,944,1251,1145,1336,1227.3333333333333,1038,3002,1731,2360,2434,573,2135,2052,1547,1950,2592,1874,2307,2538,35,0,96,1476,3520,2995,1918,2860,3936,2191,3597,3765,3963
A/09/09,NA,NA,NA,NA,32291,36176,32444,31604,33340,31024,35438,30522,30230,30229,27268,26860,29016.75,24694,22134,26259,27503,28936,28018,26929,29124.666666666668,21523,28221,26786,26879,27811,23692,27224,27970,26156.666666666668,23878,22079,23281,24854,25808,26261,22908,23698,26910,27482,16330,20761,23642,26803,20815.2,25156,23213,23737
A/09/11,4789.75,5594,6989.5,NA,NA,4216.333333333333,4710,4849,6618,5507,4750,4859,5381,5526,5185.833333333333,4995.666666666667,4751.25,4544,3727,3844,3621,4690,4410,4446,4736.2,3374,4575,5263,5798,6415,5232,5221,4271,3971.3333333333335,4734,5436,5815,5621,4757,5327,3654,1577,0,0,0,0,0,0,0,0,0,0
A/09/12,27608,28226,28483,32466,NA,27906.666666666668,30499,29132,30576,26564,26817,21233,0,0,0,0,0,0,2.8,NA,0,0,798,2845.5,2158.3333333333335,1436,1370,1034,788,727,985,614,661,417.6666666666667,185,303,660,599.6666666666666,1592,1372,126,417.2,950.25,1301,1093.1666666666667,562.3333333333334,445.6666666666667,4,1,19.833333333333332,26.833333333333332,62
